[Header]
TITLE,HC_AJ1396_Co-morph.dat
BYAPP,HeatCapacity,3.8.2,1.7
INFO,4.91,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,349.33,MOLWGHT:Formula Weight (g/mole)
INFO,,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.8.2 Build 2,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
6170683.63,CALFILE: Puck1073_1.cal - Addenda #30 measured on 3/13/2018 from 2.0245343 to 60.507468 K
6170683.78,,5905,60.0045,60.1441,0,9.3E-6,60.553205,1.2454805,1501.4437,2.288,795.95218,0.7828,2297.3959,2.288,0.049056558,37.995948,0.062576146,99.2734,0,0,1,,,,6.0654E-5,78.80646,3666.6907,24.795445,0
6170984.97,,5905,59.9954,60.1541,0,9.3E-6,60.525788,1.2128005,1501.3205,1.643,795.33614,0.783,2296.6567,1.643,0.2119315,38.296449,0.075009464,99.135844,0,0,1,,,,6.0194E-5,75.9919,3663.371,24.804642,0
6171627.41,,5905,53.3435,53.5143,0,9.3E-6,53.82789,1.1403671,1325.5872,1.919,638.68682,0.7824,1964.274,1.919,4.7262322,36.268728,0.08742427,98.902501,0,0,1,,,,5.4433E-5,76.5929,2897.4417,24.626401,0
6171917.17,,5905,53.3644,53.4812,0,9.3E-6,53.847208,1.112058,1316.7112,1.452,639.07338,0.7826,1955.7846,1.452,0.38946201,35.203718,0.059790457,99.22849,0,0,1,,,,5.5752E-5,72.53746,2899.5218,24.452729,0
6172533.55,,5905,47.4391,47.6037,0,9.2E-6,47.868534,1.0213763,1154.6,1.753,520.90677,0.6815,1675.5067,1.753,5.4993893,33.393197,0.077580745,98.916117,0,0,1,,,,5.0437E-5,70.40744,2291.3966,24.120228,0
6172805.13,,5905,47.4582,47.5789,0,9.3E-6,47.893196,0.99711163,1145.9279,1.294,521.33653,0.6819,1667.2644,1.294,0.46862965,32.324095,0.050670625,99.270881,0,0,1,,,,5.1759E-5,66.78639,2293.7582,23.926738,0
6173414.64,,5905,42.1841,42.3464,0,9.3E-6,42.586435,0.91564932,994.65133,1.793,423.51302,0.5799,1418.1643,1.793,0.28233997,30.606959,0.066927002,98.956134,0,0,1,,,,4.6576E-5,64.64819,1813.6045,23.35606,0
6173664.73,,5905,42.2088,42.3307,0,9.3E-6,42.603277,0.89305505,990.20187,1.089,423.81249,0.5803,1414.0144,1.089,0.80600675,29.74536,0.046316342,99.258222,0,0,1,,,,4.7712E-5,61.21392,1815.0392,23.242387,0
6174372.91,,5905,37.5435,37.6718,0,9.3E-6,37.916884,0.81696555,848.08534,1.206,345.42176,0.4713,1193.5071,1.206,0.14890473,27.214398,0.039554515,99.293197,0,0,1,,,,4.4014E-5,59.49072,1437.6901,22.366958,0
6174599.66,,5905,37.5348,37.6634,0,9.3E-6,37.889997,0.78696403,850.1207,1.008,345.06262,0.4708,1195.1833,1.008,0.23982689,27.186414,0.039061252,99.30027,0,0,1,,,,4.4119E-5,54.4288,1435.6518,22.436547,0
6175120.14,,5905,33.3496,33.5459,0,9.3E-6,33.686586,0.73527755,728.48242,1.524,280.94266,0.3784,1009.4251,1.524,0.43528828,25.864811,0.058681082,98.869862,0,0,1,,,,3.926E-5,54.37283,1134.7861,21.625297,0
6175306.64,,5905,33.3853,33.5243,0,9.2E-6,33.722481,0.71817498,723.74542,0.7808,281.45058,0.3791,1005.196,0.7808,1.6453922,24.888753,0.03466391,99.308952,0,0,1,,,,4.0533E-5,51.72962,1137.2057,21.461808,0
6175805.81,,5905,29.6507,29.8451,0,9.3E-6,29.960521,0.65760296,612.20032,1.047,227.7287,0.3623,839.92902,1.047,5.1169743,23.353309,0.045817924,99.006537,0,0,1,,,,3.6158E-5,49.77751,897.63281,20.433567,0
6175980.09,,5905,29.6847,29.8546,0,9.3E-6,29.994928,0.6411639,612.63402,0.9126,228.21376,0.3621,840.84778,0.9126,1.4869399,23.203731,0.042152055,99.080785,0,0,1,,,,3.6416E-5,46.70662,899.69573,20.424587,0
6176448.34,,5905,26.3583,26.5627,0,9.3E-6,26.646641,0.59531648,513.86576,1.056,182.88604,0.2908,696.7518,1.056,1.1762586,21.533522,0.045098741,98.917035,0,0,1,,,,3.255E-5,46.40746,710.04346,19.284448,0
6176609.52,,5905,26.3944,26.5817,0,9.3E-6,26.68862,0.57672346,509.43146,0.759,183.43523,0.2924,692.86669,0.759,0.47500077,20.904446,0.031919987,99.215044,0,0,1,,,,3.3286E-5,43.06704,712.28244,19.087966,0
6177093.67,,5905,23.4564,23.5874,0,9.3E-6,23.72048,0.50724813,418.92265,1.358,146.33589,0.208,565.25854,1.342,0.11096908,17.714297,0,100,0,0,1,,,,3.191E-5,41.80889,562.66116,17.6608,0
6177232.91,,5905,23.4581,23.6468,0,9.3E-6,23.709574,0.48684442,422.13796,0.66,146.25797,0.2079,568.39594,0.66,2.3247122,19.110812,0.031916356,99.125276,0,0,1,,,,2.9887E-5,35.42859,562.14392,17.804536,0
6177650.7,,5905,20.8808,20.9841,0,9.3E-6,21.106391,0.4708502,350.16458,0.756,116.72813,0.1666,466.8927,0.756,1.3123923,17.454185,0.032177689,99.01554,0,0,1,,,,2.6899E-5,38.22162,445.47976,16.590452,0
6177825.58,,5905,20.8489,21.0392,0,9.3E-6,21.093855,0.45933725,347.5031,0.9715,116.62835,0.1664,464.13145,0.9715,0.17101772,17.614341,0.034430167,98.959687,0,0,1,,,,2.6505E-5,34.90837,444.95073,16.474139,0
6178200.27,,5905,18.5627,18.701,0,9.3E-6,18.785625,0.42180585,282.74276,0.4346,92.093077,0.1247,374.83583,0.4346,0.52216368,15.40042,0.018070308,99.366297,0,0,1,,,,2.4428E-5,35.22868,352.89972,15.051016,0
6178343.98,,5905,18.5686,18.6954,0,9.2E-6,18.778547,0.39749742,281.89641,0.3802,92.059178,0.1246,373.95558,0.3802,5.867741,15.253689,0.018073818,99.360933,0,0,1,,,,2.4605E-5,30.80084,352.63382,15.01162,0
