[Header]
TITLE,HC_AJ2145_Co-imidazole.dat
BYAPP,HeatCapacity,3.8.2,1.7
INFO,3.11,MASS:Sample Mass (mg)
INFO,0,MASSERR:Sample Mass Error (mg)
INFO,311.25,MOLWGHT:Formula Weight (g/mole)
INFO,0,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.8.2 Build 2,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
3847596.03,CALFILE: Puck1070shorten2.cal - Addenda #82 measured on 2/10/2019 from 2.1734371 to 40.28299 K
3847596.16,,5905,39.9956,40.188,-0.056,9.3E-6,40.276801,0.79678683,553.76731,1.099,421.50144,0.8718,975.26875,1.099,0.4218551,21.334453,0.23352675,95.606787,0,0,1,,,,4.6398E-5,39.55859,1622.2207,13.749039,0
3847769.8,,5905,39.9949,40.1954,-0.056,9.3E-6,40.299649,0.83045096,553.899,1.077,421.85891,0.8737,975.75792,1.077,0.66308615,21.365672,0.2320056,95.641698,0,0,1,,,,4.6348E-5,42.66891,1624.0617,13.744512,0
3848386.73,,5905,32.708,32.9209,-0.056,9.3E-6,33.004183,0.74006351,413.73941,0.9727,298.05613,0.8074,711.79554,0.9727,0.46165334,17.907455,0.19009558,95.69711,0,0,1,,,,4.0359E-5,42.73134,1089.2761,12.535969,0
3848535.58,,5905,32.7348,32.8967,-0.056,9.3E-6,32.976618,0.68171917,415.91659,0.957,297.75226,0.8076,713.66885,0.957,0.792394,18.077423,0.19253145,95.678067,0,0,1,,,,4.0091E-5,35.81491,1087.4574,12.61247,0
3849035.42,,5905,26.712,26.9268,-0.056,9.3E-6,26.940052,0.62141176,309.47083,0.8914,208.43823,0.4624,517.90906,0.8914,25.278131,16.628249,0.20404614,94.96672,0,0,1,,,,3.1743E-5,36.15485,725.76641,11.487388,0
3849156.36,,5905,26.7434,26.9568,-0.056,9.3E-6,26.989852,0.59174696,300.78086,0.7852,209.08479,0.4621,509.86565,0.7852,0.93218086,15.346287,0.18211236,95.163203,0,0,1,,,,3.3819E-5,33.2565,728.45209,11.144221,0
3849572.38,,5905,21.8804,22.0045,-0.056,9.2E-6,22.06246,0.49701997,214.77609,0.4261,144.23388,0.2781,359.00997,0.4261,0.22738925,12.565176,0.122401,95.991133,0,0,1,,,,2.9003E-5,30.69257,486.75216,9.7349109,0
3849683.95,,5905,21.8849,21.9995,-0.056,9.4E-6,22.043286,0.45199212,213.99696,0.3865,144.04826,0.2777,358.04522,0.3865,4.2933531,12.450899,0.12221519,95.962863,0,0,1,,,,2.9193E-5,25.13035,485.90644,9.7080336,0
3850034.73,,5905,17.887,17.9985,-0.056,9.2E-6,18.029735,0.39887887,151.90697,0.4147,96.907556,0.2177,248.81453,0.4147,0.30723272,10.705128,0.10991905,95.726206,0,0,1,,,,2.3633E-5,24.9018,325.07136,8.4253578,0
