[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1593775350.370000 7/3/2020, 1:22:30 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.53,  Build 056

INFO, NAME, MC-4-mox-2-[Co(NCS)2(4-mox)2]n-mono
INFO, WEIGHT, 2.490
INFO, AREA, 393.35
INFO, LENGTH, 1.000
INFO, SHAPE, 1
INFO, COMMENT, holder=45.24mg,wosk=1.73mg
INFO, SEQUENCE FILE: MC4mox-2.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1593775350.370,,5.014163e+004,1.800215e+000,7.304683e-002,3.121501e-005,7.313524e-002,3.122555e-005,3,9.908085e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,3.568053e-003,0,,0,
1593775438.800,,4.815071e+004,1.797277e+000,7.284274e-002,2.966085e-005,7.566902e-002,1.730918e-004,3,9.905593e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,5.502939e-003,0,,0,
1593775531.460,,4.614266e+004,1.799370e+000,7.257422e-002,2.686862e-006,7.751252e-002,1.079223e-004,3,9.906961e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,6.886959e-003,0,,0,
1593775621.820,,4.413691e+004,1.798683e+000,7.228740e-002,3.967076e-006,7.913969e-002,3.859598e-005,3,9.904830e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.555008e-003,0,,0,
1593775710.080,,4.213001e+004,1.799310e+000,7.200782e-002,1.353967e-005,8.055541e-002,9.136910e-005,3,9.905789e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,6.145000e-003,0,,0,
1593775797.030,,4.012198e+004,1.800005e+000,7.167944e-002,4.578204e-006,8.128799e-002,3.013026e-004,3,9.904463e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,5.200982e-003,0,,0,
1593775887.980,,3.811394e+004,1.800958e+000,7.140362e-002,2.834902e-005,8.226978e-002,1.604741e-005,3,9.904925e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,6.991029e-003,0,,0,
1593775976.960,,3.610590e+004,1.800898e+000,7.110356e-002,1.651630e-005,8.306345e-002,9.927164e-005,3,9.905223e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,5.311012e-003,0,,0,
1593776064.020,,3.409900e+004,1.800660e+000,7.073604e-002,4.725718e-006,8.355269e-002,4.746792e-006,3,9.904862e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,4.356027e-003,0,,0,
1593776159.040,,3.208583e+004,1.803017e+000,7.039354e-002,1.097925e-005,8.405314e-002,2.928679e-005,3,9.906421e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.860065e-003,0,,0,
1593776245.330,,3.007950e+004,1.800734e+000,7.003662e-002,1.702206e-005,8.421020e-002,7.313005e-005,3,9.903758e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,5.181074e-003,0,,0,
1593776335.020,,2.807260e+004,1.802512e+000,6.966706e-002,9.820215e-006,8.475487e-002,1.656687e-004,3,9.903688e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,6.502986e-003,0,,0,
1593776424.660,,2.606571e+004,1.801449e+000,6.925377e-002,1.430886e-005,8.503677e-002,9.323410e-005,3,9.904343e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,5.942941e-003,0,,0,
1593776512.320,,2.406223e+004,1.801144e+000,6.884994e-002,1.539941e-005,8.500409e-002,2.723213e-005,3,9.904885e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,5.247951e-003,0,,0,
1593776601.800,,2.205533e+004,1.801160e+000,6.837873e-002,1.986177e-006,8.506551e-002,1.085966e-004,3,9.903535e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,5.447984e-003,0,,0,
1593776693.910,,2.005357e+004,1.801523e+000,6.788726e-002,1.680606e-005,8.489360e-002,1.863470e-004,3,9.905731e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,6.240964e-003,0,,0,
1593776782.340,,1.804382e+004,1.800479e+000,6.739730e-002,8.587421e-006,8.507798e-002,8.872966e-005,3,9.907130e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,4.880905e-003,0,,0,
1593776867.200,,1.604776e+004,1.801103e+000,6.685024e-002,2.265393e-006,8.481202e-002,3.617306e-004,3,9.904817e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,4.953980e-003,0,,0,
1593776953.980,,1.404429e+004,1.801111e+000,6.627534e-002,5.589728e-006,8.487289e-002,2.377293e-004,3,9.906043e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,4.498005e-003,0,,0,
1593777043.840,,1.203500e+004,1.802667e+000,6.560897e-002,3.697332e-005,8.434232e-002,9.456699e-005,3,9.905789e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,5.191088e-003,0,,0,
1593777133.090,,1.002924e+004,1.800824e+000,6.492650e-002,2.929206e-006,8.390124e-002,2.674586e-004,3,9.904222e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,5.017996e-003,0,,0,
1593777255.300,,9.773440e+003,1.801037e+000,6.483224e-002,1.153782e-006,8.392362e-002,1.210721e-004,3,9.904881e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,5.348921e-003,0,,0,
1593777336.750,,9.524946e+003,1.801430e+000,6.476083e-002,1.434046e-005,8.342837e-002,1.714850e-004,3,9.904163e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,4.042983e-003,0,,0,
1593777421.780,,9.274173e+003,1.802896e+000,6.464081e-002,2.233783e-006,8.296928e-002,2.291208e-005,3,9.905273e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,4.963994e-003,0,,0,
1593777505.160,,9.022255e+003,1.802221e+000,6.455364e-002,6.090220e-006,8.290988e-002,4.940664e-005,3,9.904703e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,5.102038e-003,0,,0,
1593777592.430,,8.772393e+003,1.802708e+000,6.445122e-002,4.356933e-006,8.276182e-002,3.897951e-004,3,9.903964e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,6.253004e-003,0,,0,
1593777672.460,,8.519786e+003,1.800929e+000,6.436613e-002,7.475799e-006,8.244647e-002,1.015265e-004,3,9.904777e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,4.266977e-003,0,,0,
1593777753.750,,8.270836e+003,1.801225e+000,6.425136e-002,4.873232e-006,8.220457e-002,2.240316e-004,3,9.906092e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,4.005075e-003,0,,0,
1593777836.520,,8.020063e+003,1.802674e+000,6.417315e-002,1.556799e-005,8.198225e-002,1.032967e-004,3,9.904577e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,5.064011e-003,0,,0,
1593777915.940,,7.769513e+003,1.800838e+000,6.405810e-002,4.325324e-006,8.181904e-002,1.683240e-004,3,9.902769e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.917051e-003,0,,0,
1593777997.730,,7.518731e+003,1.801167e+000,6.396448e-002,3.993414e-006,8.153982e-002,2.053869e-004,3,9.905117e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,3.708005e-003,0,,0,
1593778082.750,,7.268643e+003,1.801744e+000,6.385183e-002,1.313401e-005,8.123516e-002,1.232585e-004,3,9.904162e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,5.557060e-003,0,,0,
1593778166.350,,7.018550e+003,1.801432e+000,6.377272e-002,6.111293e-006,8.111125e-002,1.262456e-004,3,9.904907e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,5.426049e-003,0,,0,
1593778248.080,,6.765948e+003,1.801241e+000,6.365234e-002,9.872900e-006,8.130525e-002,6.268290e-005,3,9.904860e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,3.741980e-003,0,,0,
