H,T,m,dm,chi,chiT,M
Oe,K,emu,emu,cm3/mol,cm3K/mol,uB/mol
2.49,6.330240244057456e-06, holder=45.24mg, holder=45.24mg,,,
50141.63,1.8002150000000001,0.07304683,3.121501e-05,0.23014089189975123,0.4143030857113107,2.0678356305137715
48150.71,1.797277,0.07284274,2.966085e-05,0.23898661257408668,0.4295251420873168,2.0620540442210253
46142.66,1.7993700000000001,0.07257422,2.686862e-06,0.24846708811525428,0.4470842243419451,2.0544485601917053
44136.91,1.7986830000000003,0.0722874,3.967076e-06,0.2587312705466937,0.4653755379007387,2.0463250513937847
42130.01,1.79931,0.07200782,1.3539670000000001e-05,0.27000726890840493,0.48582677901958204,2.038406487397956
40121.98,1.8000049999999999,0.07167944,4.578204e-06,0.2822270993203738,0.5080101899121694,2.02910650840063
38113.94,1.8009580000000003,0.07140362,2.834902e-05,0.29595245550278865,0.5329979423573913,2.0212943786597637
36105.9,1.8008979999999999,0.07110356,1.65163e-05,0.31109843518171937,0.560256549721888,2.012796071854631
34099.0,1.80066,0.07073604,4.7257179999999996e-06,0.32770483239729004,0.5900849835045042,2.0023881344664125
32085.83,1.8030169999999999,0.07039354,1.097925e-05,0.3465790833645023,0.6248879791506149,1.9926884406149314
30079.5,1.800734,0.07003662,1.702206e-05,0.367820946103653,0.6623476835610155,1.9825805653798434
28072.6,1.802512,0.06966706,9.820214999999999e-06,0.39203586325319995,0.7066493479442519,1.9721148804169095
26065.71,1.801449,0.06925377,1.430886e-05,0.419714394531212,0.7560940763138574,1.9604113026116035
24062.23,1.8011439999999999,0.06884994,1.539941e-05,0.45200864016206144,0.814132650176056,1.9489755223628464
22055.33,1.8011599999999999,0.06837873,1.986177e-06,0.4897625129904757,0.8821406478979251,1.9356323663362736
20053.57,1.801523,0.06788726,1.680606e-05,0.5347781657300886,0.9634151654605665,1.921715708684094
18043.82,1.8004790000000002,0.0673973,8.587421000000001e-06,0.5900517383744593,1.0623757638567082,1.907841778379124
16047.76,1.801103,0.06685024,2.265393e-06,0.6580571559141354,1.1852287176884169,1.892351511572827
