[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1593768714.110000 7/3/2020, 11:31:54 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.53,  Build 056

INFO, NAME, MC-4-mox-2-[Co(NCS)2(4-mox)2]n-mono
INFO, WEIGHT, 2.490
INFO, AREA, 393.35
INFO, LENGTH, 1.000
INFO, SHAPE, 1
INFO, COMMENT, holder=45.24mg,wosk=1.73mg
INFO, SEQUENCE FILE: MC4mox-2.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1593768714.110,,5.009828e+003,2.700027e+002,2.270551e-004,6.175912e-008,-6.655748e-003,4.771712e-004,3,9.889857e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.901245e-002,0,,0,
1593768741.020,,4.509757e+003,2.700121e+002,2.043414e-004,1.110368e-007,-5.676569e-003,1.507833e-003,3,9.902291e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.892090e-002,0,,0,
1593768766.840,,4.009345e+003,2.700169e+002,1.817914e-004,7.371995e-007,-6.071560e-003,2.815953e-004,3,9.892939e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.892090e-002,0,,0,
1593768792.110,,3.507563e+003,2.700050e+002,1.593270e-004,2.363660e-007,-2.916880e-003,1.606110e-003,3,9.882945e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.841187e-002,0,,0,
1593768817.320,,3.005783e+003,2.700098e+002,1.371224e-004,2.609277e-007,-3.537261e-003,1.521108e-003,3,9.804393e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.841187e-002,0,,0,
1593768842.250,,2.505712e+003,2.700098e+002,1.141210e-004,3.050090e-007,-6.389908e-003,4.365091e-003,3,9.761348e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,3.790283e-002,0,,0,
1593768872.520,,2.003931e+003,2.700027e+002,9.185313e-005,5.915273e-007,-2.224423e-003,9.866214e-003,3,9.465519e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.901245e-002,0,,0,
1593768904.810,,1.500895e+003,2.700193e+002,6.818505e-005,1.695078e-006,3.582331e-003,5.338451e-003,3,9.594737e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.889038e-002,0,,0,
1593768929.750,,9.996837e+002,2.700122e+002,4.836705e-005,4.019380e-006,-1.039049e-002,4.208690e-002,3,7.635303e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.892090e-002,0,,0,
1593768954.790,,4.992714e+002,2.700216e+002,2.145781e-005,2.314578e-007,-3.553998e-002,4.286717e-003,3,7.634987e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.841187e-002,0,,0,
