H,T,m,dm,chi,chiT,M
5009.8279999999995,270.0027,0.0002270551,6.175912e-08,0.007159591651629478,1.9331090768374184,0.006427392819494098
4509.7570000000005,270.0121,0.0002043414,1.110368e-07,0.007157857211076028,1.9327080570627815,0.005784421698016786
4009.345,270.0169,0.0001817914,7.371995e-07,0.007162748677999417,1.934063193512501,0.005146084536334041
3507.563,270.005,0.00015932700000000001,2.3636600000000001e-07,0.007175690622723197,1.9374723465883767,0.004510170508178571
3005.783,270.0098,0.0001371224,2.609277e-07,0.007206602856365097,1.9458533959265685,0.0038816108035089167
2505.712,270.0098,0.000114121,3.0500900000000003e-07,0.007194725403045707,1.9426463671312906,0.003230495575538651
2003.931,270.0027,9.185313e-05,5.915273e-07,0.007240874223460775,1.9550555906948126,0.0026001448468237795
1500.895,270.0193,6.818505e-05,1.6950780000000001e-06,0.007176598663600597,1.9378201475263688,0.0019301574849754357
999.6837,270.0122,4.8367049999999996e-05,4.01938e-06,0.007643051680981633,2.063717199095549,0.0013691567811958947
499.2714,270.0216,2.145781e-05,2.314578e-07,0.006789354944812729,1.8332724851662445,0.0006074198461786088
0.11409269999999999,270.0169,-8.693328000000001e-07,1.234644e-06,-1.2036716049782432,-325.01167539424983,-2.4608755304200168e-05
-500.1841,270.0098,-2.3567939999999998e-05,1.058772e-06,0.007443403273854324,2.0097918292927512,-0.0006671526353130483
-1001.2810000000001,270.0098,-4.613686e-05,8.956719e-08,0.007279002457691054,1.9654019978006698,-0.0013060253774436446
-1501.921,270.0121,-6.984967e-05,3.972927e-07,0.007346780699290198,1.9837196848548146,-0.001977278939790528
-2005.1860000000001,270.005,-8.657506e-05,1.950938e-06,0.00682052719447068,1.8415764451430559,-0.0024507351695305267
-2506.967,270.0098,-0.0001144491,2.974584e-06,0.0072117983026588235,1.9472562173412482,-0.0032397833104720482
-3007.152,270.0098,-0.00013863879999999998,1.777895e-06,0.007282981679574153,1.966476426705481,-0.003924536500714048
-3508.8190000000004,270.0051,-0.0001597845,3.0550290000000005e-08,0.007193719330140728,1.9423409071065805,-0.004523121251037545
-4010.942,270.0098,-0.0001818845,8.094231999999999e-07,0.007163563517279606,1.9342323525879628,-0.005148719977121299
-4511.355,270.0074,-0.0002048698,1.709129e-08,0.007173824495751748,1.9369857001542408,-0.005799379452173467
-5013.023,270.0027,-0.00022685759999999997,3.9765799999999997e-07,0.007148804878235832,1.930196618896846,-0.006421802061647873
