[Header]
TITLE,MPMS AC Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1582137952.400000 2/19/2020, 7:45:52 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.53,  Build 056

INFO, NAME, Co(NCS)2(4-mox)2-cryst
INFO, WEIGHT, 1.300
INFO, AREA, 393.35
INFO, LENGTH, 1.000
INFO, SHAPE, 1
INFO, COMMENT, holder=58.19mg,wosk=0.43mg
INFO, SEQUENCE FILE: acf-01-1500-many-blocks.seq

STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y2,7,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,m' and m"
FIELDGROUP,m' and m",1,2,3,4,14,15,5,6,7,8,13,26,27,28
FIELDGROUP,Amplitude and Phase,1,2,3,4,14,15,9,10,11,12,13,26,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),m' (emu),m' Scan Std Dev,m" (emu),m" Scan Std Dev,Amplitude (emu),Amplitude Scan Std Dev,Phase (deg),Phase Scan Std Dev,Regression Fit,Drive Amplitude (Oe),Wave Frequency (Hz),Steps per Cycle,Blocks to Average,Scans per Measurement,Clock Frequency,Amplifier Gain,AC Filter,Two Point Measurement,Scan Length,Settling Time (sec),Delta Temp (K),Rot Position (Oe),Error,% Clipped,,
1582137952.400,,4.000000e+002,3.999629e+000,2.472604e-004,0.000000e+000,1.059246e-006,0.000000e+000,2.472626e-004,0.000000e+000,2.454496e-001,0.000000e+000,9.999851e-001,3.000000e+000,1.000030e-001,7324,1,1,2,0,3,1,4.000000e+000,5,7.891655e-005,0.000000e+000,0,0.000000e+000,,
1582138349.460,,4.000000e+002,3.999629e+000,2.465236e-004,0.000000e+000,1.650829e-006,0.000000e+000,2.465291e-004,0.000000e+000,3.836717e-001,0.000000e+000,9.999937e-001,3.000000e+000,1.427445e-001,5131,1,1,2,0,3,1,4.000000e+000,5,7.891655e-005,0.000000e+000,0,0.000000e+000,,
1582138628.810,,4.000000e+002,3.999433e+000,2.468259e-004,0.000000e+000,2.296211e-006,0.000000e+000,2.468366e-004,0.000000e+000,5.330048e-001,0.000000e+000,9.999902e-001,3.000000e+000,2.037335e-001,3595,1,1,2,0,3,1,4.000000e+000,5,1.571178e-004,0.000000e+000,0,0.000000e+000,,
1582138848.460,,4.000000e+002,3.999120e+000,2.466230e-004,0.000000e+000,2.936944e-006,0.000000e+000,2.466405e-004,0.000000e+000,6.822825e-001,0.000000e+000,9.999972e-001,3.000000e+000,2.908745e-001,2518,1,1,2,0,3,1,4.000000e+000,5,0.000000e+000,0.000000e+000,0,0.000000e+000,,
1582139025.920,,4.000000e+002,3.998885e+000,2.459681e-004,0.000000e+000,3.966473e-006,0.000000e+000,2.460001e-004,0.000000e+000,9.238696e-001,0.000000e+000,9.999952e-001,3.000000e+000,4.152052e-001,1764,1,1,2,0,3,1,4.000000e+000,5,1.561642e-004,0.000000e+000,0,0.000000e+000,,
1582139139.290,,4.000000e+002,3.998572e+000,2.453529e-004,0.000000e+000,5.255255e-006,0.000000e+000,2.454092e-004,0.000000e+000,1.227040e+000,0.000000e+000,9.999940e-001,3.000000e+000,5.925744e-001,1236,1,1,2,0,3,1,4.000000e+000,5,0.000000e+000,0.000000e+000,0,0.000000e+000,,
1582139272.920,,4.000000e+002,3.998806e+000,2.443203e-004,0.000000e+000,6.635116e-006,0.000000e+000,2.444104e-004,0.000000e+000,1.555625e+000,0.000000e+000,9.999917e-001,3.000000e+000,8.457527e-001,866,1,1,2,0,3,1,4.000000e+000,5,1.568794e-004,0.000000e+000,0,0.000000e+000,,
1582139373.540,,4.000000e+002,3.998415e+000,2.431129e-004,0.000000e+000,8.404452e-006,0.000000e+000,2.432581e-004,0.000000e+000,1.979936e+000,0.000000e+000,9.999927e-001,3.000000e+000,1.206626e+000,607,2,1,2,0,3,1,4.000000e+000,5,0.000000e+000,0.000000e+000,0,0.000000e+000,,
1582139515.530,,4.000000e+002,3.998651e+000,2.408791e-004,0.000000e+000,1.024243e-005,0.000000e+000,2.410968e-004,0.000000e+000,2.434810e+000,0.000000e+000,9.999890e-001,3.000000e+000,1.723092e+000,6801,2,1,3,0,2,1,4.000000e+000,5,3.130436e-004,0.000000e+000,0,0.000000e+000,,
1582139633.730,,4.000000e+002,3.998455e+000,2.378397e-004,0.000000e+000,1.155941e-005,0.000000e+000,2.381204e-004,0.000000e+000,2.782483e+000,0.000000e+000,9.999917e-001,3.000000e+000,2.459855e+000,4764,2,1,3,0,2,1,4.000000e+000,5,2.350807e-004,0.000000e+000,0,0.000000e+000,,
