H,T,m1,dm1,m2,dm2,amp,phase,Hamp,f,chi1,chi2,Tround
Oe,K,emu,emu,emu,emu,emu,deg,Oe,Hz,cm3/mol,cm3/mol,K
1.3,3.304944705732808e-06, holder=58.19mg,wosk=0.43mg,,,,,,,,,
400.0,3.999629,0.0002472604,0.0,1.059246e-06,0.0,0.0002472626,0.24544960000000002,3.0,0.100003,24.93843034358974,0.10683446515384615,4.0
400.0,3.999629,0.0002465236,0.0,1.6508289999999999e-06,0.0,0.0002465291,0.3836717,3.0,0.1427445,24.86411745128205,0.16650091978205125,4.0
400.0,3.9994330000000002,0.0002468259,0.0,2.2962110000000002e-06,0.0,0.0002468366,0.5330048000000001,3.0,0.2037335,24.894607119230766,0.2315934863717949,4.0
400.0,3.9991199999999996,0.000246623,0.0,2.9369439999999997e-06,0.0,0.0002466405,0.6822825,3.0,0.2908745,24.874142833333334,0.29621715958974354,4.0
400.0,3.998885,0.00024596810000000003,0.0,3.9664729999999995e-06,0.0,0.0002460001,0.9238696,3.0,0.41520519999999994,24.808090291025643,0.40005439860256403,4.0
400.0,3.9985720000000002,0.0002453529,0.0,5.255255e-06,0.0,0.0002454092,1.22704,3.0,0.5925744000000001,24.746041849999997,0.5300396292948717,4.0
400.0,3.9988059999999996,0.0002443203,0.0,6.635116000000001e-06,0.0,0.0002444104,1.555625,3.0,0.8457527,24.64189487307692,0.6692109945128205,4.0
400.0,3.998415,0.0002431129,0.0,8.404452e-06,0.0,0.0002432581,1.9799360000000001,3.0,1.206626,24.520117747435897,0.8476644087692307,4.0
400.0,3.998651,0.0002408791,0.0,1.0242429999999999e-05,0.0,0.0002410968,2.4348099999999997,3.0,1.7230919999999998,24.294818970512818,1.0330409847435895,4.0
400.0,3.9984550000000003,0.00023783970000000002,0.0,1.155941e-05,0.0,0.0002381204,2.782483,3.0,2.459855,23.988268203846154,1.1658702367948717,4.0
400.0,3.9981419999999996,0.0002343038,0.0,1.2461e-05,0.0,0.0002346349,3.044299,3.0,3.51071,23.631640956410255,1.2568036794871793,4.0
400.0,3.9980629999999997,0.00023060099999999998,0.0,1.26597e-05,0.0,0.00023094819999999999,3.142311,3.0,5.012297,23.258180346153843,1.2768443576923076,4.0
400.0,3.998298,0.00022696830000000002,0.0,1.214665e-05,0.0,0.0002272931,3.063374,3.0,7.154304,22.89178995,1.225098660897436,4.0
400.0,3.9984550000000003,0.00022360849999999999,0.0,1.126654e-05,0.0,0.00022389220000000002,2.884416,3.0,10.20797,22.552923967948715,1.136331668974359,4.0
400.0,3.9981809999999998,0.0002207271,0.0,9.852221e-06,0.0,0.00022094689999999998,2.555718,3.0,14.575560000000001,22.26230891923077,0.9936849052179486,4.0
400.0,3.998102,0.00021842240000000002,0.0,8.102458000000001e-06,0.0,0.00021857270000000002,2.1244330000000002,3.0,20.81483,22.02985924102564,0.8172056036666667,4.0
400.0,3.998103,0.000216248,0.0,7.053819e-06,0.0,0.000216363,1.8682759999999998,3.0,29.695909999999998,21.810551487179485,0.7114409496538461,4.0
400.0,3.9981419999999996,0.00021549990000000003,0.0,5.7188959999999995e-06,0.0,0.00021557580000000002,1.520148,3.0,42.382459999999995,21.73509888846154,0.576801985025641,4.0
400.0,3.9981800000000005,0.0002146598,0.0,4.32755e-06,0.0,0.0002147034,1.154929,3.0,60.483869999999996,21.650367264102563,0.4364722544871794,4.0
400.0,3.998103,0.0002137536,0.0,3.42047e-06,0.0,0.0002137809,0.9167649,3.0,86.32597,21.55896886153846,0.34498509602564104,4.0
400.0,3.997947,0.0002134886,0.0,2.410265e-06,0.0,0.00021350229999999998,0.646836,3.0,123.1932,21.53224123333333,0.24309685583333332,4.0
400.0,3.997985,0.0002133096,0.0,1.8547319999999998e-06,0.0,0.0002133177,0.4981754,3.0,175.8912,21.514187476923077,0.1870663672307692,4.0
400.0,3.9980629999999997,0.0002126648,0.0,1.396402e-06,0.0,0.0002126694,0.37621079999999996,3.0,251.3405,21.44915361025641,0.1408396735128205,4.0
400.0,3.9984940000000004,0.0002125277,0.0,8.910239e-07,0.0,0.00021252950000000002,0.2402116,3.0,357.8244,21.435325844871794,0.08986775668333333,4.0
400.0,3.99865,0.0002123383,2.68254e-08,2.440077e-07,2.281904e-08,0.0002123385,0.06584118,3.0,512.2951,21.416223155128204,0.024610366357692304,4.0
400.0,3.998533,0.0002122047,3.714603e-08,-3.7517109999999996e-07,4.1946670000000003e-07,0.00021220509999999999,-0.10128780000000001,3.0,732.4219,21.402748396153846,-0.0378393723551282,4.0
400.0,3.998905,0.0002119395,1.6332929999999997e-07,-1.3241450000000001e-06,5.722945e-07,0.00021194360000000001,-0.3579712,3.0,1041.667,21.376000596153844,-0.1335519066025641,4.0
400.0,3.999511,0.00021365529999999998,2.932067e-07,-1.342953e-06,2.174659e-06,0.0002136595,-0.3601379,3.0,1488.095,21.54905442435897,-0.1354488621923077,4.0
400.0,3.8995290000000002,0.0002631603,0.0,1.395051e-06,0.0,0.00026316400000000003,0.30373049999999996,3.0,0.100003,26.54207795,0.1407034130384615,3.9
400.0,3.8995660000000005,0.0002629118,0.0,1.732899e-06,0.0,0.0002629175,0.3776413,3.0,0.1427445,26.517014494871795,0.1747784158076923,3.9
400.0,3.8991629999999997,0.0002629277,0.0,2.3076849999999997e-06,0.0,0.0002629378,0.5028654,3.0,0.2037335,26.518618152564102,0.2327507422435897,3.9
400.0,3.8984690000000004,0.00026247849999999997,0.0,3.094789e-06,0.0,0.0002624968,0.6755225,3.0,0.2908745,26.473312301282046,0.31213724439743584,3.9
400.0,3.89814,0.00026187009999999996,0.0,4.205799e-06,0.0,0.0002619039,0.9201271999999999,3.0,0.41520519999999994,26.411949701282044,0.4241925735,3.9
400.0,3.89825,0.000261202,0.0,5.403885e-06,0.0,0.0002612579,1.185196,3.0,0.5925744000000001,26.344565820512816,0.5450302986538461,3.9
400.0,3.8982129999999997,0.00026018009999999997,0.0,7.05237e-06,0.0,0.0002602756,1.552664,3.0,0.8457527,26.24149803461538,0.711294805,3.9
